"Table 203.20. Enrollment in public elementary and secondary schools, by region, state, and jurisdiction: Selected years, fall 1990 through fall 2023",,,,,,,,,,,,,,,,,,,,,,,,,
"Region, state, and jurisdiction",Actual total enrollment,,,,,,,,,,,,,"Percent change in total enroll-ment, 2006 to 2011",Projected total enrollment,,,,,,"Percent change in total enroll-ment, 2011 to 2023",,,,
,Fall 1990,Fall 2000,Fall 2001,Fall 2002,Fall 2003,Fall 2004,Fall 2005,Fall 2006,Fall 2007,Fall 2008,Fall 2009,Fall 2010,Fall 2011,,Fall 2012,Fall 2013,Fall 2014,Fall 2015,Fall 2020,Fall 2023,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,,,,
   United States ...............,"41,216,683","47,203,539","47,671,870","48,183,086","48,540,215","48,795,465","49,113,298","49,315,842","49,292,507","49,265,572","49,360,982","49,484,181","49,521,669",0.4,"49,651,900","49,750,400","49,751,300","49,839,400","51,165,200","52,112,800",5.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Region,,,,,,,,,,,,,,,,,,,,,,,,,
  Northeast .......................,"7,281,763","8,222,127","8,250,440","8,296,621","8,292,315","8,271,259","8,240,160","8,257,889","8,122,022","8,052,985","8,092,029","8,071,335","7,953,981",-3.7,"7,901,300","7,852,600","7,800,800","7,766,800","7,768,400","7,791,000",-2.0,,,,
  Midwest .......................,"9,943,761","10,729,987","10,744,536","10,818,970","10,808,977","10,775,409","10,818,815","10,819,248","10,770,212","10,742,973","10,672,171","10,609,604","10,573,792",-2.3,"10,556,400","10,536,700","10,496,200","10,479,600","10,504,000","10,515,400",-0.6,,,,
  South .......................,"14,807,016","17,007,261","17,236,914","17,471,440","17,672,745","17,891,987","18,103,166","18,293,633","18,424,719","18,490,770","18,651,889","18,805,000","18,955,932",3.6,"19,115,700","19,236,100","19,300,200","19,385,600","20,060,900","20,542,600",8.4,,,,
  West .......................,"9,184,143","11,244,164","11,439,980","11,596,055","11,766,178","11,856,810","11,951,157","11,945,072","11,975,554","11,978,844","11,944,893","11,998,242","12,037,964",0.8,"12,078,600","12,125,000","12,154,200","12,207,300","12,832,000","13,263,700",10.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
State,,,,,,,,,,,,,,,,,,,,,,,,,
  Alabama .......................,"721,806","739,992","737,190","739,366","731,220","730,140","741,761","743,632","744,865","745,668","748,889","755,552","744,621",0.1,"742,400","739,300","734,300","730,000","715,000","712,800",-4.3,,,,
